"ALL TISSUES, SINGLE FREQUENCY","FREQUENCY = ",700000,"Hz"
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
Prostate          ,    7.000e+5,    5.214e-1,    3.401e+3,    3.937e+0,    4.616e+0,    9.446e-1,
Retina            ,    7.000e+5,    5.860e-1,    2.760e+3,    5.451e+0,    4.507e+0,    8.609e-1,
SkinDry           ,    7.000e+5,    7.511e-3,    1.033e+3,    1.867e-1,    1.327e+1,    2.282e+1,
SkinWet           ,    7.000e+5,    1.991e-1,    2.587e+3,    1.977e+0,    6.641e+0,    1.719e+0,
SmallIntestine    ,    7.000e+5,    7.791e-1,    7.235e+3,    2.765e+0,    3.587e+0,    8.135e-1,
SpinalCord        ,    7.000e+5,    1.196e-1,    1.184e+3,    2.594e+0,    9.055e+0,    2.100e+0,
Spleen            ,    7.000e+5,    1.606e-1,    2.558e+3,    1.613e+0,    7.035e+0,    2.012e+0,
Stomach           ,    7.000e+5,    5.653e-1,    1.897e+3,    7.653e+0,    4.710e+0,    8.539e-1,
Tendon            ,    7.000e+5,    3.913e-1,    1.782e+2,    5.641e+1,    5.989e+0,    9.701e-1,
Testis            ,    7.000e+5,    5.214e-1,    3.401e+3,    3.937e+0,    4.616e+0,    9.446e-1,
Thymus            ,    7.000e+5,    5.816e-1,    1.813e+3,    8.239e+0,    4.665e+0,    8.380e-1,
Thyroid           ,    7.000e+5,    5.816e-1,    1.813e+3,    8.239e+0,    4.665e+0,    8.380e-1,
Tongue            ,    7.000e+5,    3.555e-1,    2.760e+3,    3.307e+0,    5.462e+0,    1.171e+0,
Tooth             ,    7.000e+5,    2.301e-2,    1.612e+2,    3.667e+0,    2.177e+1,    4.537e+0,
Trachea           ,    7.000e+5,    3.652e-1,    9.501e+2,    9.870e+0,    5.946e+0,    1.047e+0,
Uterus            ,    7.000e+5,    5.556e-1,    1.317e+3,    1.083e+1,    4.842e+0,    8.451e-1,
Vacuum            ,    7.000e+5,    0.000e-1,    1.000e+0,    0.000e-1,    4.283e+2,"N/A",
VitreousHumor     ,    7.000e+5,    1.500e+0,    8.805e+1,    4.376e+2,    3.082e+0,    4.916e-1,
